id,target,prediction
35-ZnS-M_B-Ca-POSCAR0.cif,10.236059,8.704152
791-SnC-M_i_A-Ir-POSCAR5.cif,10.975963,11.146043
1431-CdS-M_i_neut-Ag-POSCAR36.cif,2.419631,2.324894
361-CdTe-M_i_A-Y-POSCAR5.cif,3.572854,3.4118
290-CdTe-M_B-V-POSCAR0.cif,1.133985,1.145331
948-CdSe-M_B-C-POSCAR9.cif,5.268833,5.097197
875-GeSn-M_i_neut-K-POSCAR19.cif,3.099963,3.025002
1112-CdSe-M_i_neut-B-POSCAR4.cif,5.363767,5.274784
174-GaP-P_Ga-POSCAR1-Neutral.cif,3.577713,3.238759
496-CdTe-M_i_neut-Cd-POSCAR46.cif,2.176099,2.153145
1261-CdS-M_B-Pd-POSCAR3.cif,2.582915,2.571311
871-GeSn-M_i_B-Ga-POSCAR3.cif,1.335051,1.253076
263-GeC-V_Ge-POSCAR67-Neutral.cif,5.278336,5.767345
555-AlN-M_i_neut-Si-POSCAR14.cif,11.16463,11.151522
137-CdS-M_B-Cd-POSCAR0.cif,3.208498,2.523223
571-AlAs-M_i_A-Te-POSCAR4.cif,6.404458,6.382763
489-CdTe-M_i_neut-Nb-POSCAR11.cif,4.494894,4.418809
1380-CdS-M_i_B-Re-POSCAR3.cif,6.647233,6.589471
1171-CdS-M_A-Ga-POSCAR4.cif,0.662756,0.576719
147-AlAs-Al_i_neut-POSCAR24-Neutral.cif,4.194471,4.056456
930-CdSe-M_A-Ir-POSCAR3.cif,3.490737,3.336963
336-CdTe-M_i_A-Sn-POSCAR0.cif,3.424514,3.279341
123-CdO-M_i_neut-Cd-POSCAR36.cif,2.303895,2.213185
63-ZnSe-M_i_A-Au-POSCAR3.cif,3.494205,3.427254
443-CdTe-M_i_B-Hg-POSCAR5.cif,1.661891,1.620348
1087-CdSe-M_i_B-Zr-POSCAR2.cif,4.130146,3.979006
19-ZnS-S_i_B-POSCAR25-Neutral.cif,4.549503,4.340869
453-CdTe-M_i_neut-Ba-POSCAR43.cif,4.415436,4.335211
1249-CdS-M_B-Mn-POSCAR6.cif,4.343746,4.132405
1130-CdSe-M_i_neut-Cl-POSCAR29.cif,3.084994,2.969065
453-CdTe-M_i_neut-Ba-POSCAR5.cif,4.457428,4.380353
614-GaAs-M_i_B-Pt-POSCAR7.cif,3.805564,3.678711
41-ZnS-M_i_B-Al-POSCAR3.cif,5.742729,5.575309
192-GaSb-V_Sb-POSCAR1-Neutral.cif,2.693216,2.742697
1017-CdSe-M_i_A-Cl-POSCAR4.cif,3.170138,3.031927
15-ZnS-Zn_i_A-POSCAR2-Neutral.cif,3.085187,3.258335
358-CdTe-M_i_A-Ni-POSCAR5.cif,0.777175,0.651006
461-CdTe-M_i_neut-Ge-POSCAR7.cif,3.033551,3.001547
1400-CdS-M_i_neut-Sn-POSCAR16.cif,4.115174,4.021378
9-ZnO-M_B-V-POSCAR2.cif,4.80963,4.600756
21-ZnO-M_i_neut-F-POSCAR43.cif,5.295923,5.268017
753-GeC-M_A-W-POSCAR1.cif,3.305925,3.30813
291-SiGe-Si_i_B-POSCAR1-Neutral.cif,4.444299,4.385355
789-SnC-M_i_A-Fe-POSCAR0.cif,5.301737,5.185688
1437-CdS-M_i_neut-Os-POSCAR17.cif,5.524127,5.478363
794-SnC-M_i_B-Pd-POSCAR0.cif,5.619248,5.470624
504-CdTe-M_i_neut-Pt-POSCAR3.cif,2.231362,2.111634
426-CdTe-M_i_B-Nb-POSCAR1.cif,4.539516,4.410098
775-GeC-M_i_neut-O-POSCAR18.cif,7.425608,7.332239
260-SiC-Si_i_A-POSCAR4-Neutral.cif,11.411502,11.397643
