Defects,Formation_Energies
AlAs_III_V_M_A_Cd.cif,0.00
AlAs_III_V_M_A_Cr.cif,-1.31
AlAs_III_V_M_A_Cu.cif,0.00
AlAs_III_V_M_A_Fe.cif,0.00
AlAs_III_V_M_A_Mn.cif,-0.24
AlAs_III_V_M_A_N.cif,0.00
AlAs_III_V_M_A_Ni.cif,0.00
AlAs_III_V_M_A_Ti.cif,-0.80
AlAs_III_V_M_A_V.cif,-0.68
AlAs_III_V_M_B_Cr.cif,-0.76
AlAs_III_V_M_B_Ga.cif,0.00
AlAs_III_V_M_B_N.cif,-2.13
AlAs_III_V_M_B_Ni.cif,-0.01
AlAs_III_V_M_i_A_Cr.cif,-2.04
AlAs_III_V_M_i_A_Cu.cif,-0.11
AlAs_III_V_M_i_A_Fe.cif,-0.07
AlAs_III_V_M_i_A_Mn.cif,-0.48
AlAs_III_V_M_i_A_Ni.cif,-0.45
AlAs_III_V_M_i_A_Ti.cif,-0.51
AlAs_III_V_M_i_A_V.cif,-1.35
AlAs_III_V_M_i_B_Cr.cif,-1.95
AlAs_III_V_M_i_B_Fe.cif,-0.19
AlAs_III_V_M_i_B_Mn.cif,-1.02
AlAs_III_V_M_i_B_Ni.cif,-0.63
AlAs_III_V_M_i_B_Ti.cif,-0.58
AlAs_III_V_M_i_B_V.cif,-1.60
AlAs_III_V_M_i_neut_Cr.cif,-0.78
AlAs_III_V_M_i_neut_Ni.cif,0.00
AlAs_III_V_M_i_neut_V.cif,-0.41
AlN_III_V_M_A_Be.cif,0.00
AlN_III_V_M_A_Cd.cif,0.00
AlN_III_V_M_A_Cr.cif,-2.58
AlN_III_V_M_A_Cu.cif,-0.01
AlN_III_V_M_A_Fe.cif,0.00
AlN_III_V_M_A_Ga.cif,-0.31
AlN_III_V_M_A_Ge.cif,0.00
AlN_III_V_M_A_Mn.cif,-0.55
AlN_III_V_M_A_Sn.cif,0.00
AlN_III_V_M_A_Ti.cif,-0.01
AlN_III_V_M_A_V.cif,-2.28
AlN_III_V_M_B_As.cif,-0.29
AlN_III_V_M_B_Au.cif,-0.36
AlN_III_V_M_B_Br.cif,-0.20
AlN_III_V_M_B_C.cif,-0.45
AlN_III_V_M_B_Cd.cif,-0.32
AlN_III_V_M_B_Cl.cif,-0.49
AlN_III_V_M_B_Cr.cif,-2.22
AlN_III_V_M_B_F.cif,-0.17
AlN_III_V_M_B_Fe.cif,-0.22
AlN_III_V_M_B_Ge.cif,-0.34
